palabra,frecuencia
vieja,9
ex,35
f.c.g.b.,2
33,30
397,3
629,4
80,38
administrativo,57
antecedentes,57
arribo,2
belgrano,31
dicta,8
expediente,211
fermin,10
ferrocarril,8
innovar,1
instrumentos,31
obstruccion,5
registrados,10
resolucion,85
respecto,113
surgen,11
01,69
12,184
ataque,3
considerarlo,1
efectuado,34
intendente,117
interesado,29
planteo,3
posterioridad,11
privada,48
propiedad,152
revoco,1
accesible,11
apertura,81
concurrencia,7
condominios,1
conectaria,1
contaria,1
costo,54
desarrollo,187
desenvolvimiento,8
donacion,212
esa,74
escuela,57
especialmente,36
expropiarse,1
franja,14
gente,8
hace,156
indivisa,2
logica,2
parte,309
pasaje,54
polo,1
puesto,17
significa,29
situacion,153
solo,161
terreno,150
virtud,110
ya,185
zamora,2
infimo,2
1890,2
384,3
390,1
adjunta,25
catastral,32
comprendida,14
expropiar,2
lleva,30
nomenclatura,34
ancho,46
coincidiendo,3
encontrarse,19
expropiese,1
extension,99
expropiacion,9
ordenar,27
pertinente,84
planos,71
realizar,228
documentar,3
efectuadas,38
deposito,38
efectuan,5
efectue,49
fin,270
oportuno,21
tasacion,7
afectadas,15
albergue,1
arbitrese,1
conexion,9
entre,341
estaria,6
familias,33
fiscal,69
habitando,1
0033,1
crear,59
registro,112
mano,36
obra,176
disponible,16
04,73
abril,127
36,23
carecer,11
clase,35
encuentra,127
estables,1
fuentes,14
grave,20
trabajadora,3
administracion,119
angustioso,1
apuntada,1
bienestar,42
bolsa,9
ende,16
imposible,13
pobladores,6
presupuestaria,16
problema,26
resulta,135
terrible,2
ubicarlos,1
abrir,11
albañiles,3
cubrira,1
domesticos,6
jardineros,5
necesidades,83
plomeros,2
aparentemente,2
caber,1
contratacion,44
garantizar,47
grado,25
prestacion,88
pudiera,38
pueda,61
responsabilidad,87
sentido,83
servicios,266
sistema,136
tener,96
inscribirse,15
confeccionado,12
conocer,33
estime,23
existencia,47
hacer,94
medios,79
oficios,7
postulantes,6
vez,180
0036,1
refugios,14
usuarios,36
empresas,68
transporte,79
39,28
crecimiento,85
demografico,16
102,30
capital,33
estudiantes,8
habitantes,59
internos,12
lineas,40
mayor,190
pasajeros,42
recorridos,17
viajan,1
aboque,3
arriba,21
bancos,24
cemento,10
estar,82
mencionados,67
cinco,74
localizarse,4
linea,74
pedro,32
recorrido,51
seis,48
solicitan,30
villalba,8
0039,1
dispone,246
recipientes,7
colectores,3
afluencia,9
40,58
concurridos,2
papeles,2
indole,21
aparte,9
aspecto,28
atentan,7
contra,79
deprimente,1
ello,214
foco,3
insectos,3
procreacion,2
representa,29
semejantes,4
teniendose,4
velarse,1
cervecerias,1
cuestion,65
embotelladoras,1
estatales,18
financieras,29
gaseosas,2
podrian,14
privadas,64
solicitados,8
camiones,18
recolectores,3
volcados,2
0040,1
instituto,39
infantil,12
'changuitos',2
guarderia,7
jardin,26
infantes,8
direccion,244
cultura,63
41,20
atencion,89
educacionales,23
establecimientos,67
falta,85
hijos,23
adjuntamos,1
almuerzo,1
asimismo,110
atendidos,8
brindarles,1
consta,21
contamos,7
cuidado,18
cuidados,6
debidamente,74
dentista,1
desayuno,1
destacando,1
especializado,10
estan,48
funcionabilidad,1
hombres,15
inmueble,122
logren,3
madres,9
merienda,1
medico,25
preocupacion,10
profesionales,54
proveera,17
requisitos,100
reune,6
sentimos,2
son,184
tenemos,7
trabajan,7
tranquilidad,12
ubicacion,69
verdaderos,10
changuitos,1
denominacion,32
dependencia,46
30,151
treinta,62
termino,81
designaciones,5
didactico,3
docente,25
efecto,136
enseres,2
facultado,18
material,46
muebles,17
oposicion,8
pediatra,1
queda,86
resulten,60
tal,223
utiles,7
1914,5
acepta,144
av,150
destino,82
efectuada,133
favor,92
igualmente,26
podra,171
propietaria,11
propuesta,63
ubicado,92
anterior,93
condiciones,167
cualquier,183
ofrezca,7
perjuicio,53
precio,47
previo,66
resultare,10
si,166
ventajosa,2
ultima,32
abone,7
identicas,4
inscriptos,18
necesaria,102
remuneraciones,25
abonar,28
aranceles,3
comision,83
cooperadora,6
fijados,26
administrar,12
anual,65
determinen,15
elegidos,10
honoraria,3
integrada,24
padres,19
perciba,3
subsidios,16
tutores,7
agencias,10
conjunta,28
credito,49
depositadas,3
instituciones,73
mantenga,5
miembros,51
nombre,166
oficiales,38
orden,86
percibidas,3
preferencia,9
representante,33
sucursales,3
sumas,27
todas,158
uno,111
ampliacion,51
becas,7
instalaciones,52
podran,135
provision,43
refaccion,6
refiere,56
uniforme,6
util,12
anuales,14
aprobado,86
0041,1
informacion,91
concientizar,8
ventajas,7
huerta,3
08,98
mayo,110
43,21
critica,8
economica,51
busqueda,11
ciudadania,12
cultivo,1
gobernantes,9
incentivar,4
iniciativa,18
propios,42
solventar,6
charlas,5
lograr,66
mejor,86
misma,265
organizar,22
rendimiento,15
aquellos,76
concursos,10
entendido,4
organizaran,2
participar,21
premios,16
presentadas,11
propietarios,65
quedando,84
comercio,31
consistiran,3
haran,27
otorgar,43
semestralmente,7
0043,1
jardines,22
participara,3
44,22
alegran,1
hermosos,1
observan,2
debemos,17
embellecimiento,9
espiritu,28
frentes,15
limpieza,36
promover,44
recreen,1
embellecer,3
interesada,12
participaran,4
comercios,34
0044,1
grandes,28
contribuyentes,29
contribuciones,59
inciden,33
actividad,109
"comercial,",2
industrial,15
y/o,80
45,29
afecta,19
comercial,66
disponibilidad,34
elevado,24
importante,62
incumplimiento,73
obligaciones,64
pasivos,8
porcentaje,33
sujetos,25
tributarias,15
falencias,6
formas,35
menguar,2
tales,97
administrativa,42
aumentar,14
clasificaciones,4
conforme,169
eficiencia,25
ellas,42
establecimiento,51
hacienda,68
mejorar,60
permitiera,2
prepuesto,1
recaudacion,42
secretario,80
5229,2
concejos,14
conferidas,46
deliberantes,12
facultades,155
honorables,5
criterio,56
facultada,9
incluidos,22
incorporar,33
lista,10
nuevos,57
nomina,10
articulos,116
calificados,10
concordantes,14
determinaciones,4
disposicion,101
expresa,63
inclusion,18
independiente,15
mantendran,8
monto,94
posteriores,30
queden,8
salvo,60
surja,30
calendario,12
declararan,2
establezca,46
impositivo,5
ingresaran,5
inmediato,40
mensual,58
mes,100
periodo,74
posicion,13
siguiente,233
vencido,37
adelante,65
aplicaran,17
correspondan,45
curso,27
disposiciones,199
normalmente,4
primer,66
trimestre,11
actualizacion,24
correspondiera,12
corriente,28
cuando,149
fije,19
importe,71
incluidas,25
interes,105
mora,20
partir,197
quedaran,21
superan,2
trimestrales,2
codigo,115
den,7
pasibles,16
previstas,45
sanciones,66
tributario,45
0045,1
modifica,206
montos,78
infractores,9
72,27
46,20
propuesto,19
5º,10
clasificados,6
correspondiere,14
superen,11
000,83
fijase,25
mil,97
previsto,56
0046,1
modificase,90
4,40
8,30
42,24
modificacion,40
nota,34
sancionada,41
solicita,63
sr,157
aceptar,64
cuanto,79
decide,4
fue,86
precedente,56
promulgada,31
solicitud,48
82,23
1983,11
90,41
arribe,1
asesores,11
conclusiones,9
contables,12
contratar,31
demandado,3
demandante,2
determine,45
diciembre,152
ejecucion,122
emitira,6
estudiar,6
evaluara,5
existir,29
imputados,6
informar,45
integrados,3
investigadora,3
juicios,3
objeto,97
opinion,16
participa,3
pautas,46
peritos,3
planta,50
procedera,64
quien,93
revistan,6
seguir,20
0047,1
empresa,113
'el,4
sol',2
"s.r.l,",2
5,24
barrio,113
horco,33
molle,28
15,151
50,67
algunas,30
cantidad,84
comunicacion,54
concurren,13
fuera,68
laborales,17
motivos,28
otros,123
densamente,4
lamas,14
lilas,12
norte,119
poblada,2
saavedra,15
sector,69
ubica,7
sol,5
srl,10
especificar,8
hara,49
0050,1
propicia,5
evaluar,15
factibilidad,40
usar,11
relleno,5
julio,142
57,20
domiciliarios,10
abierto,18
actual,70
alguna,97
alimento,1
cielo,11
circulo,5
deshechos,1
elevar,24
hidrica,2
luego,50
privados,41
recolectar,3
sirven,5
vaciaderos,1
vendidos,4
vera,41
vicioso,1
adyacentes,6
aptas,16
bajas,20
compactados,1
contemplarse,3
especie,11
forestadas,1
fuente,20
madera,14
muerto,15
niveladas,1
otras,109
